Code,Name,Level,Card_type,Color,Form,Attribute,Digimon_type,DP,Play_cost,Digivolve_cost_1,Digivolve_level_1,Digivolve_cost_2,Digivolve_level_2,Effect,Digivolve_effect,Security_effect,Deck_type,Deck_name
BT8-108,Mist Memory Boost!,NULL,Option,Purple,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,"[Main] Trash the top 2 cards of your deck and ＜Draw 1＞. (Draw 1 card from your deck.) Then, place this card in your Battle Area.[Main] ＜Delay＞ (Trash this card in your battle area to activate the effect below. You can't activate this effect the turn this card enters play.)・Gain 2 memory.",NULL,[Security] Place this card in its owner's battle area.,booster, New Hero[Bt-08]
BT8-109,Flame Hellscythe,NULL,Option,Purple,NULL,NULL,NULL,NULL,6,NULL,NULL,NULL,NULL,"[Main] 1 of your opponent's Digimon gets -6000 DP for the turn. Then, play 1 purple or yellow Digimon card with 6000 DP or less from your trash without paying its memory cost.",NULL,[Security] Activate this card's [Main] effect.,booster, New Hero[Bt-08]
BT8-110,Armor Texture!,NULL,Option,White,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"While you have a Digimon with [Armor Form] in its traits in play, you may use this card without meeting its color requirements.[Main] Trash the top card of 1 of your Digimon with [Armor Form] in its traits. Then, you may digivolve 1 of your Digimon into a Digimon card in your hand with [Armor Form] in its traits for its digivolution cost. If you do, unsuspend that Digimon.",NULL,[Security] Play 1 level 3 Digimon card with [Free] in its traits from your hand or trash without paying its memory cost.,booster, New Hero[Bt-08]
BT8-111,Creepymon,6,Digimon,Purple,Mega,Virus,Demon Lord/Seven Great Demon Lords,11000,12,3,5,NULL,NULL,"[When Digivolving] Trash the top 2 cards of your deck for each of your opponent's Digimon in play. If you trash 4 or more cards with this effect, you may play 1 level 5 or lower purple Digimon card from your trash without paying its memory cost.[When Attacking][Once Per Turn] For every 10 cards in your trash, trash the top 3 cards of your opponent's deck, and this Digimon gets +3000 DP for the turn.",NULL,NULL,booster, New Hero[Bt-08]
BT8-112,Imperialdramon: Paladin Mode,7,Digimon,White,Mega,Vaccine,Ancient Holy Warrior,16000,15,7,6,7,6,"When one of your Digimon digivolves into this card in your hand, you may return 1 white level 7 Digimon card from your trash to the bottom of your deck to reduce the digivolution cost by 4.[When Digivolving][When Attacking] You may return 1 2-color card from this Digimon's digivolution cards to the bottom of its owner's deck to trash all of the digivolution cards of 1 of your opponent's Digimon. Then, return all of your opponent's Digimon with no digivolution cards to the bottom of their owners' decks in any order.",NULL,NULL,booster, New Hero[Bt-08]
EX1-001,Agumon,3,Digimon,Red,Rookie,Vaccine,Reptile,2000,3,0,2,NULL,NULL,NULL,[When Attacking][Once Per Turn] Reveal the top 3 cards of your deck. Add 1 Tamer card or 1 Digimon card with [Agumon] in its name among them to your hand. Place the remaining cards at the bottom of your deck in any order.,NULL,theme booster, Classic Collection[Ex-01]
EX1-002,Biyomon,3,Digimon,Red,Rookie,Vaccine,Bird,2000,3,0,2,NULL,NULL,NULL,"[When Attacking][Once Per Turn] When this Digimon attacks a player, ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-003,Birdramon,4,Digimon,Red,Champion,Vaccine,Giant Bird,5000,5,2,3,NULL,NULL,NULL,"[When Attacking] When this Digimon attacks a player, delete 1 of your opponent's Digimon with 3000 DP or less.",NULL,theme booster, Classic Collection[Ex-01]
EX1-004,Greymon,4,Digimon,Red,Champion,Vaccine,Dinosaur,5000,5,2,3,NULL,NULL,NULL,[When Attacking][Once Per Turn] You may play 1 [Tai Kamiya] with a play cost of 3 or less from your hand without paying its memory cost.,NULL,theme booster, Classic Collection[Ex-01]
EX1-005,Tyrannomon,4,Digimon,Red,Champion,Data,Dinosaur,4000,5,2,3,2,3,"[When Digivolving] If you don't have a [Taiga] in play, you may play one from your hand without paying its memory cost. [Your Turn] This Digimon is also treated as green.","[Your Turn] While this Digimon has [Tyrannomon] in its name, it gets +2000 DP.",NULL,theme booster, Classic Collection[Ex-01]
EX1-006,Garudamon,5,Digimon,Red,Ultimate,Vaccine,Birdkin,7000,6,3,4,NULL,NULL,NULL,"[When Attacking][Once Per Turn] When this Digimon attacks a player, gain 1 memory.",NULL,theme booster, Classic Collection[Ex-01]
EX1-007,Megadramon,5,Digimon,Red,Ultimate,Virus,Cyborg,7000,7,3,4,3,4,[On Play] Delete up to 2 of your opponent's Digimon with 3000 DP or less.,"[Your Turn] While this Digimon has [Machine] in its traits, it gains ＜Security Attack +1＞. (This Digimon checks 1 additional security card.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-008,MetalGreymon,5,Digimon,Red,Ultimate,Vaccine,Cyborg,7000,7,3,4,3,4,"[When Attacking] When this Digimon attacks a player, delete 1 of your opponent's Digimon with 4000 DP or less.","[Your Turn] While this Digimon has [Machine] or [Dragonkin] in its traits, it gains ＜Piercing＞. (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-009,WarGreymon,6,Digimon,Red,Mega,Vaccine,Dragonkin,12000,12,4,5,NULL,NULL,"[When Digivolving] ＜Blitz＞ (This Digimon can attack when your opponent has 1 or more memory.)[When Attacking] When this Digimon attacks a player, if you have a Tamer in play, delete 1 of your opponent's Digimon with ＜Blocker＞.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-010,Phoenixmon,6,Digimon,Red,Mega,Vaccine,Holy Beast,11000,12,3,5,NULL,NULL,"＜Security Attack +1＞ (This Digimon checks 1 additional security card.)[When Attacking] When this Digimon attacks a player, ＜Draw 2＞. (Draw 2 cards from your deck.)",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-011,Gabumon,3,Digimon,Blue,Rookie,Data,Reptile,2000,3,0,2,NULL,NULL,NULL,[When Attacking][Once Per Turn] Reveal the top 3 cards of your deck. Add 1 Tamer card or 1 Digimon card with [Gabumon] in its name among them to your hand. Place the remaining cards at the bottom of your deck in any order.,NULL,theme booster, Classic Collection[Ex-01]
EX1-012,Gomamon,3,Digimon,Blue,Rookie,Vaccine,Sea Beast,2000,3,0,2,NULL,NULL,[On Play] Trash 1 digivolution card from the bottom of 1 of your opponent's Digimon.,NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-013,Veemon,3,Digimon,Blue,Rookie,Free,Mini Dragon,2000,3,0,2,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When this Digimon becomes unsuspended during your main phase, gain 1 memory.",NULL,theme booster, Classic Collection[Ex-01]
EX1-014,ExVeemon,4,Digimon,Blue,Champion,Free,Mythical Dragon,4000,5,2,3,2,3,＜Jamming＞ (This Digimon can't be deleted in battles against Security Digimon.),"[Your Turn] While this Digimon has [Imperialdramon] in its name or [Free] in its traits, it gains ＜Jamming＞.",NULL,theme booster, Classic Collection[Ex-01]
EX1-015,Garurumon,4,Digimon,Blue,Champion,Vaccine,Beast,5000,5,2,3,NULL,NULL,NULL,[When Attacking][Once Per Turn] You may play 1 [Matt Ishida] with a play cost of 3 or less from your hand without paying its memory cost.,NULL,theme booster, Classic Collection[Ex-01]
EX1-016,Ikkakumon,4,Digimon,Blue,Champion,Vaccine,Sea Beast,6000,6,2,3,NULL,NULL,[Your Turn] This Digimon can also attack your opponent's unsuspended Digimon with no digivolution cards.,NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-017,WereGarurumon,5,Digimon,Blue,Ultimate,Vaccine,Beastkin,7000,7,3,4,NULL,NULL,[When Digivolving] ＜Draw 1＞. (Draw 1 card from your deck.),"[When Attacking][Once Per Turn] If you have 8 or more cards in your hand, gain 1 memory.",NULL,theme booster, Classic Collection[Ex-01]
EX1-018,Zudomon,5,Digimon,Blue,Ultimate,Vaccine,Sea Beast,8000,8,3,4,NULL,NULL,[When Digivolving] Trash 1 digivolution card from the bottom of 1 of your opponent's Digimon. [Your Turn] This Digimon can also attack your opponent's unsuspended Digimon with no digivolution cards.,NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-019,Paildramon,5,Digimon,Blue,Ultimate,Free,Dragonkin,7000,8,3,4,3,4,"[When Digivolving] If a Digimon card with [Free] in its traits is in this Digimon's digivolution cards, unsuspend this Digimon.","[Your Turn] While this Digimon has [Imperialdramon] in its name, it can't be blocked.",NULL,theme booster, Classic Collection[Ex-01]
EX1-020,Plesiomon,6,Digimon,Blue,Mega,Data,Plesiosaur,11000,11,3,5,NULL,NULL,"[Your Turn][Once Per Turn] When one of your opponent's digivolution cards is trashed, ＜Draw 2＞. (Draw 2 cards from your deck.) [Your Turn] This Digimon can also attack your opponent's unsuspended Digimon with no digivolution cards.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-021,MetalGarurumon,6,Digimon,Blue,Mega,Data,Cyborg,12000,11,4,5,NULL,NULL,"[When Digivolving] Gain 1 memory for every 4 cards in your hand. [When Attacking] If you have 8 or more cards in your hand and a Tamer in play, return 1 of your opponent's Digimon with an [On Deletion] effect to the bottom of its owner's deck. Trash all of the digivolution cards of that Digimon.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-022,Imperialdramon Dragon Mode,6,Digimon,Blue,Mega,Free,Ancient Dragon,11000,12,3,5,3,5,"[When Digivolving] If a Digimon card with [Free] in its traits is in this Digimon's digivolution cards, unsuspend this Digimon and suspend 1 of your opponent's Digimon. [Your Turn] For each color in this Digimon's digivolution cards, it gets +1000 DP.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-023,Elecmon,3,Digimon,Yellow,Rookie,Data,Mammal,2000,3,0,2,NULL,NULL,NULL,[On Deletion] 1 of your opponent's Digimon gains ＜Security Attack -1＞ for the turn. (This Digimon checks 1 fewer security cards.),NULL,theme booster, Classic Collection[Ex-01]
EX1-024,Patamon,3,Digimon,Yellow,Rookie,Data,Mammal,2000,3,0,2,NULL,NULL,"[On Play] Reveal the top 4 cards of your deck. Add 1 Digimon card with [Angel], [Archangel], or [Three Great Angels] in its traits among them to your hand. Place the remaining cards at the bottom of your deck in any order.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-025,Salamon,3,Digimon,Yellow,Rookie,Vaccine,Mammal,2000,3,0,2,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If you have 3 or more security cards, ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-026,Gatomon,4,Digimon,Yellow,Champion,Vaccine,Holy Beast,4000,4,2,3,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If you have 3 or more security cards, 1 of your opponent's Digimon gets -2000 DP for the turn.",NULL,theme booster, Classic Collection[Ex-01]
EX1-027,Leomon,4,Digimon,Yellow,Champion,Vaccine,Beastkin,5000,5,2,3,NULL,NULL,"[Security] At the end of the battle, if you have 3 or fewer security cards, ＜Recovery +1 (Deck)＞. (Place the top card of your deck on top of your security stack.)",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-028,Angemon,4,Digimon,Yellow,Champion,Vaccine,Angel,6000,6,2,3,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If you have 3 or more security cards, this Digimon gets +1000 DP until the end of your opponent's next turn.",NULL,theme booster, Classic Collection[Ex-01]
EX1-029,MagnaAngemon,5,Digimon,Yellow,Ultimate,Vaccine,Archangel,7000,8,3,4,NULL,NULL,"[When Attacking] If you have 3 or more security cards, this Digimon gets +4000 DP until the end of your opponent's next turn.","[Your Turn][Once Per Turn] When a card is added to your security stack, gain 1 memory.",NULL,theme booster, Classic Collection[Ex-01]
EX1-030,Angewomon,5,Digimon,Yellow,Ultimate,Vaccine,Archangel,7000,8,3,4,NULL,NULL,"[When Attacking] If you have 3 or more security cards, 1 of your opponent's Digimon and all of your opponent's Security Digimon get -3000 DP for the turn.","[Your Turn][Once Per Turn] When a card is added to your security stack, 1 of your opponent's Digimon gets -2000 DP for the turn.",NULL,theme booster, Classic Collection[Ex-01]
EX1-031,Seraphimon,6,Digimon,Yellow,Mega,Vaccine,Seraph/Three Great Angels,12000,12,4,5,NULL,NULL,"[When Digivolving] ＜Recovery +1 (Deck)＞. (Place the top card of your deck on top of your security stack.)[Opponent's Turn] While this Digimon is suspended, all of your Security Digimon get +5000 DP.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-032,Magnadramon,6,Digimon,Yellow,Mega,Vaccine,Holy Dragon/Four Great Dragons,11000,12,3,5,NULL,NULL,"[When Digivolving] You may trash the top card of your security stack to unsuspend this Digimon. [When Attacking][Once Per Turn] If you have 3 or fewer security cards, ＜Recovery +1 (Deck)＞. (Place the top card of your deck on top of your security stack.)",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-033,Tentomon,3,Digimon,Green,Rookie,Vaccine,Insectoid,2000,3,0,2,NULL,NULL,NULL,"[When Attacking] The next time one of your Digimon digivolves into a Digimon card with [Insectoid] or [Ancient Insect] in its traits this turn, reduce the memory cost of the digivolution by 1.",NULL,theme booster, Classic Collection[Ex-01]
EX1-034,Palmon,3,Digimon,Green,Rookie,Data,Vegetation,1000,3,0,2,NULL,NULL,[On Deletion] Suspend 1 of your opponent's Digimon with 5000 DP or less.,NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-035,Kabuterimon,4,Digimon,Green,Champion,Vaccine,Insectoid,5000,4,2,3,NULL,NULL,[When Attacking] This Digimon can digivolve into a Digimon card with [Insectoid] in its traits in your hand for its digivolution cost.,NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-036,Togemon,4,Digimon,Green,Champion,Data,Vegetation,5000,4,2,3,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When one of your opponent's Digimon becomes suspended, this Digimon gets +2000 DP for the turn.",NULL,theme booster, Classic Collection[Ex-01]
EX1-037,Kuwagamon,4,Digimon,Green,Champion,Virus,Insectoid,5000,5,2,3,NULL,NULL,[Start of Your Turn] Suspend 1 of your opponent's Digimon with 3000 DP or less.,"[Your Turn] When this Digimon deletes one of your opponent's Digimon in battle and survives, 1 of your opponent's suspended Digimon doesn't unsuspend during their next unsuspend phase.",NULL,theme booster, Classic Collection[Ex-01]
EX1-038,Stingmon,4,Digimon,Green,Champion,Free,Insectoid,5000,6,2,3,2,3,"＜Piercing＞ (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)","[Your Turn] While this Digimon has [Imperialdramon] in its name or [Free] in its traits, it gains ＜Piercing＞.",NULL,theme booster, Classic Collection[Ex-01]
EX1-039,Lillymon,5,Digimon,Green,Ultimate,Data,Fairy,7000,6,3,4,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When one of your opponent's Digimon becomes suspended, this Digimon gains ＜Security Attack +1＞ for the turn. (This Digimon checks 1 additional security card.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-040,MegaKabuterimon,5,Digimon,Green,Ultimate,Vaccine,Insectoid,7000,7,3,4,NULL,NULL,[When Attacking] This Digimon can digivolve into a Digimon card with [Insectoid] or [Ancient Insect] in its traits in your hand for its digivolution cost.,"[Your Turn] When this Digimon deletes an opponent's Digimon in battle and survives, gain 1 memory.",NULL,theme booster, Classic Collection[Ex-01]
EX1-041,Dinobeemon,5,Digimon,Green,Ultimate,Free,Mutant,7000,8,3,4,3,4,"[When Digivolving] If a Digimon card with [Free] in its traits is in this Digimon's digivolution cards, suspend 1 of your opponent's Digimon with 5000 DP or less.","[Your Turn] When one of your Digimon with [Imperialdramon] in its name deletes an opponent's Digimon in battle and survives, gain 1 memory.",NULL,theme booster, Classic Collection[Ex-01]
EX1-042,Rosemon,6,Digimon,Green,Mega,Data,Fairy,11000,11,3,5,NULL,NULL,[Your Turn] This Digimon gets +1000 DP for each of your opponent's suspended Digimon. [When Attacking] Suspend 1 of your opponent's Digimon.,NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-043,HerculesKabuterimon,6,Digimon,Green,Mega,Vaccine,Insectoid,12000,12,4,5,NULL,NULL,"[Your Turn][Once Per Turn] When one of your Digimon with [Insectoid] or [Ancient Insect] in its traits deletes an opponent's Digimon in battle and survives, you may unsuspend this Digimon. [Your Turn] For each Digimon card with [Insectoid] in its traits in this Digimon's digivolution cards, it gets +1000 DP.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-044,Keramon,3,Digimon,Black,Rookie,Unknown,Unidentified,2000,3,0,2,NULL,NULL,NULL,"[Your Turn] For each other Digimon you have in play with the same name as this Digimon, this Digimon gets +1000 DP.",NULL,theme booster, Classic Collection[Ex-01]
EX1-045,Hagurumon,3,Digimon,Black,Rookie,Virus,Machine,2000,3,0,2,NULL,NULL,[On Play] You may trash 1 Digimon card with [Machine] or [Cyborg] in its traits in your hand to ＜Draw 2＞. (Draw 2 cards from your deck.),NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-046,Kurisarimon,4,Digimon,Black,Champion,Unknown,Unidentified,5000,4,2,3,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When one of your other Digimon with the same name as this Digimon is deleted, unsuspend this Digimon.",NULL,theme booster, Classic Collection[Ex-01]
EX1-047,Guardromon,4,Digimon,Black,Champion,Virus,Machine,6000,5,2,3,NULL,NULL,"＜Blocker＞ (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[Your Turn] This Digimon can't attack.",[When Attacking] You may trash 1 Digimon card with [Machine] or [Cyborg] in its traits in your hand to ＜Draw 2＞. (Draw 2 cards from your deck.),NULL,theme booster, Classic Collection[Ex-01]
EX1-048,Andromon,5,Digimon,Black,Ultimate,Vaccine,Cyborg,7000,7,3,4,NULL,NULL,[When Digivolving] You may reveal the top 3 cards of your deck. Add 1 level 6 Digimon card with [Machine] in its traits among them to your hand. Trash the remaining cards.,"[Opponent's Turn] While this Digimon has [Machine] in its traits, it gains ＜Blocker＞. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-049,MetalTyrannomon,5,Digimon,Black,Ultimate,Virus,Cyborg,7000,7,3,4,NULL,NULL,[When Digivolving] You may reveal the top 3 cards of your deck. Add 1 level 6 Digimon card with [Machine] in its traits among them to your hand. Trash the remaining cards.,"[Opponent's Turn] While this Digimon has [Machine] in its traits, it gains ＜Reboot＞. (Unsuspend this Digimon during your opponent's unsuspend phase.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-050,MetalMamemon,5,Digimon,Black,Ultimate,Data,Cyborg,7000,7,3,4,NULL,NULL,[When Digivolving] You may reveal the top 3 cards of your deck. Add 1 level 6 Digimon card with [Machine] in its traits among them to your hand. Trash the remaining cards.,"[When Attacking] If this Digimon has [Machine] in its traits, delete 1 of your opponent's Digimon with a play cost of 5 or less.",NULL,theme booster, Classic Collection[Ex-01]
EX1-051,Infermon,5,Digimon,Black,Ultimate,Unknown,Unidentified,7000,8,3,4,NULL,NULL,"[Opponent's Turn][Once Per Turn] When an opponent's Digimon digivolves into a level 5 or higher Digimon, gain 1 memory.",[All Turns] All of your other Digimon with the same name as this Digimon get +2000 DP.,NULL,theme booster, Classic Collection[Ex-01]
EX1-052,Etemon,5,Digimon,Black,Ultimate,Virus,Puppet,7000,8,3,4,NULL,NULL,"[Your Turn] When this Digimon digivolves into a Digimon card with [Etemon] in its name in your hand, reduce the memory cost of the digivolution by 1.","[Your Turn] While this Digimon has [Etemon] in its name, it gains ＜Jamming＞. (This Digimon can't be deleted in battles against Security Digimon.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-053,MetalEtemon,6,Digimon,Black,Mega,Virus,Cyborg,10000,11,3,5,NULL,NULL,"[Opponent's Turn] For each Digimon card with [Etemon] in its name in your trash, this Digimon gets +1000 DP. [On Deletion] ＜De-Digivolve 1＞ 1 of your opponent's Digimon. (Trash 1 card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-054,Boltmon,6,Digimon,Black,Mega,Data,Cyborg,12000,12,4,5,NULL,NULL,"＜Reboot＞ (Unsuspend this Digimon during your opponent's unsuspend phase.)[When Digivolving] ＜De-Digivolve 1＞ 1 of your opponent's Digimon. (Trash 1 card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-055,Tapirmon,3,Digimon,Purple,Rookie,Vaccine,Holy Beast,2000,3,0,2,NULL,NULL,NULL,"[Your Turn][Once Per Turn] When one of your other Digimon is deleted, ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,theme booster, Classic Collection[Ex-01]
EX1-056,DemiDevimon,3,Digimon,Purple,Rookie,Virus,Evil,2000,3,0,2,NULL,NULL,"＜Retaliation＞ (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)[Your Turn] While you don't have a Digimon with [Myotismon] in its name in play, this Digimon can't attack your opponent's Digimon.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-057,Wizardmon,4,Digimon,Purple,Champion,Data,Wizard,3000,5,2,3,NULL,NULL,"＜Retaliation＞ (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)",[Your Turn] All of your Digimon with ＜Retaliation＞ gain ＜Rush＞. (This Digimon can attack the turn it comes into play.),NULL,theme booster, Classic Collection[Ex-01]
EX1-058,Devimon,4,Digimon,Purple,Champion,Virus,Fallen Angel,6000,5,2,3,NULL,NULL,NULL,[On Deletion] Return 1 purple level 4 or lower Digimon card from your trash to your hand.,NULL,theme booster, Classic Collection[Ex-01]
EX1-059,Ogremon,4,Digimon,Purple,Champion,Virus,Demon,5000,6,2,3,NULL,NULL,[When Attacking] You may trash 1 card in your hand to have this Digimon gain ＜Security Attack +1＞ for the turn. (This Digimon checks 1 additional security card.),[When Attacking] You may trash 1 card in your hand to have this Digimon get +2000 DP for the turn.,NULL,theme booster, Classic Collection[Ex-01]
EX1-060,LadyDevimon,5,Digimon,Purple,Ultimate,Virus,Fallen Angel,7000,7,3,4,NULL,NULL,[When Digivolving] You may trash the top 3 cards of your deck.,"[Your Turn][Once Per Turn] When you play a Digimon from your trash, gain 1 memory.",NULL,theme booster, Classic Collection[Ex-01]
EX1-061,Myotismon,5,Digimon,Purple,Ultimate,Virus,Undead,7000,8,3,4,NULL,NULL,"[Your Turn] When this Digimon digivolves into a Digimon card with [Myotismon] in its name in your hand, reduce the memory cost of the digivolution by 1.","[Your Turn] While this Digimon has [Myotismon] in its name, all of your Digimon with ＜Retaliation＞ can also attack your opponent's unsuspended level 4 or lower Digimon.",NULL,theme booster, Classic Collection[Ex-01]
EX1-062,SkullGreymon,5,Digimon,Purple,Ultimate,Virus,Undead,8000,8,3,4,3,4,＜Security Attack +1＞ (This Digimon checks 1 additional security card.)[End of Attack] Delete this Digimon. [On Deletion] You may play 1 [Agumon] from your trash suspended without paying its memory cost.,NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-063,VenomMyotismon,6,Digimon,Purple,Mega,Virus,Dark Animal,12000,12,4,5,NULL,NULL,"＜Retaliation＞ (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)[When Attacking][Once Per Turn] You may play 1 purple level 4 or lower Digimon card with ＜Retaliation＞ from your trash without paying its memory cost. Any [On Play] effects on Digimon played with this effect don't activate.",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-064,Piedmon,6,Digimon,Purple,Mega,Virus,Wizard,11000,12,3,5,NULL,NULL,"[On Play] Delete 4 of your opponent's unsuspended level 4 or lower Digimon. [Your Turn][Once Per Turn] When one of your opponent's Digimon is deleted, ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-065,Diaboromon,6,Digimon,White,Mega,Unknown,Unidentified,11000,12,3,5,NULL,NULL,"[Security] At the end of the battle, you may play 1 [Diaboromon] Token without paying its memory cost. (Diaboromon Tokens are level 6 white Digimon with a memory cost of 14, 3000 DP, and Mega/Unknown/Unidentified traits.) [Opponent's Turn] All of your [Diaboromon] gain ＜Blocker＞. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)",NULL,NULL,theme booster, Classic Collection[Ex-01]
EX1-066,Analog Youth,NULL,Tamer,White,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,"[On Play] Reveal the top 3 cards of your deck. Add 1 Digimon card among them to your hand. Trash the remaining cards. [All Turns] When one of your level 5 or higher Digimon with digivolution cards is deleted, you may suspend this Tamer. If you do, gain 1 memory, then hatch 1 Digi-Egg card to an empty space in your Breeding Area.",NULL,[Security] Play this card without paying its memory cost.,theme booster, Classic Collection[Ex-01]
EX1-067,Baptism by Fire!,NULL,Option,Red,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,[Main] Delete 1 of your opponent's Digimon with 6000 DP or less and ＜Blocker＞.,NULL,[Security] Activate this card's [Main] effect.,theme booster, Classic Collection[Ex-01]
EX1-068,Ice Wall!,NULL,Option,Blue,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,[Main] All of your opponent's Digimon gain '[When Attacking] Lose 2 memory' until the end of their next turn.,NULL,[Security] Gain 2 memory.,theme booster, Classic Collection[Ex-01]
EX1-069,Ultimate Connection!,NULL,Option,Black,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,[Main] You may trash 1 level 5 Digimon card with [Cyborg] in its traits in your hand to gain 2 memory and ＜Draw 1＞. (Draw 1 card from your deck.),NULL,[Security] Activate this card's [Main] effect.,theme booster, Classic Collection[Ex-01]
EX1-070,Fight for Your Pride!,NULL,Option,Purple,NULL,NULL,NULL,NULL,4,NULL,NULL,NULL,NULL,"[Main] Play 1 purple level 4 or lower Digimon card from your trash without paying its memory cost. Then, if you have a Digimon with [Myotismon] in its name in play, 1 of your Digimon gains ＜Blocker＞ until the end of your opponent's next turn. (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)",NULL,[Security] Play 1 purple level 4 or lower Digimon card from your trash without paying its memory cost.,theme booster, Classic Collection[Ex-01]
EX1-071,Win Rate: 60%!,NULL,Option,White,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,"If you have a Tamer in play, you may use this Option card without meeting its color requirements.[Main] The next time one of your Digimon digivolves this turn, you may trash 1 Digimon card in your hand of the same color as the digivolving Digimon to reduce the memory cost of the digivolution by 4.",NULL,[Security] Add this card to its owner's hand.,theme booster, Classic Collection[Ex-01]
EX1-072,Emergency Program Shutdown!,NULL,Option,White,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,[Main] Your opponent can't use Option cards until the end of their next turn.,NULL,"[Security] Your opponent can't use Option cards this turn. Then, add this card to its owner's hand.",theme booster, Classic Collection[Ex-01]
EX1-073,Machinedramon,6,Digimon,Black,Mega,Virus,Machine,11000,12,3,5,3,5,"[On Play] You may place up to 5 level 5 red and/or black cards with [Cyborg] in their traits and different card numbers from your hand and/or trash in this Digimon's digivolution cards to gain 1 memory for each card placed.[All Turns] This Digimon's DP can't be reduced. [All Turns] When this Digimon would be deleted, you may trash 2 level 5 Digimon cards in this Digimon's digivolution cards to prevent this Digimon from being deleted.",NULL,NULL,theme booster, Classic Collection[Ex-01]
BT3-001,Poromon,2,Digi-Egg,Red,In-Training,NULL,Mini Bird,NULL,NULL,NULL,NULL,NULL,NULL,NULL,[When Attacking] Delete 1 of your opponent's Digimon with 1000 DP or less.,NULL,booster, Union Impact [Bt-03]
BT3-002,DemiVeemon,2,Digi-Egg,Blue,In-Training,NULL,Baby Dragon,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"[When Attacking][Once Per Turn] If this Digimon has ＜Jamming＞, trigger ＜Draw 1＞. (Draw 1 card from your deck.)",NULL,booster, Union Impact [Bt-03]
