"Code","Deck_Type","Deck_Name","Name","Card_Type","Form","Attribute","Type","Color","Card_Level","DP","Play_Cost","Cost_Digievolution1","Level_Digievolution1","Cost_Digievolution2","Level_Digievolution2","Effect","Digivolve_Effect","Security_Effect"
"BT2-102","Booster","Ultimate Power","Terror's Cluster","Option","-","-","-","Green",NA,NA,7,NA,NA,NA,NA,"[Main] Return 1 of your opponent's suspended Digimon to the bottom of their deck. Trash all of the digivolution cards on that Digimon.","-","[Security] Activate this card's [Main] effect."
"BT2-103","Booster","Ultimate Power","Lightning Blade","Option","-","-","-","Black",NA,NA,1,NA,NA,NA,NA,"[Main] 1 of your Digimon gets +3000 DP for the turn.","-","[Security] Unsuspend 1 of your Digimon with <Blocker>."
"BT2-104","Booster","Ultimate Power","Atomic Ray","Option","-","-","-","Black",NA,NA,3,NA,NA,NA,NA,"[Main] Unsuspend 1 of your Digimon with <Blocker>.","-","[Security] Unsuspend all of your Digimon with <Blocker> and they get +5000 DP for the turn."
"BT2-105","Booster","Ultimate Power","Spider Shooter","Option","-","-","-","Black",NA,NA,3,NA,NA,NA,NA,"[Main] Trigger <De-Digivolve 1> on 1 of your opponent's Digimon. (Trash up to 1 card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)","-","[Security] Activate this card's [Main] effect."
"BT2-106","Booster","Ultimate Power","Giga Cannon","Option","-","-","-","Black",NA,NA,6,NA,NA,NA,NA,"[Main] Trigger <De-Digivolve 4> on 1 of your opponent's Digimon. (Trash up to 4 cards from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)","-","[Security] Activate this card's [Main] effect."
"BT2-107","Booster","Ultimate Power","Darkness Claw","Option","-","-","-","Purple",NA,NA,1,NA,NA,NA,NA,"[Main] 1 of your Digimon gets +3000 DP for the turn.","-","[Security] Gain 2 memory."
"BT2-108","Booster","Ultimate Power","Grisly Wing","Option","-","-","-","Purple",NA,NA,2,NA,NA,NA,NA,"[Main] Play 1 purple level 3 Digimon from your recycle bin without paying its memory cost. Any [On Play] effects on the Digimon played with this effect don't activate. ","-","[Security] Activate this card's [Main] effect."
"BT2-109","Booster","Ultimate Power","Heat Viper","Option","-","-","-","Purple",NA,NA,5,NA,NA,NA,NA,"[Main] You may delete 1 of your Digimon to delete up to 2 of your opponent's level 4 or lower Digimon.","-","[Security] Add this card to your hand."
"BT2-110","Booster","Ultimate Power","Trump Sword","Option","-","-","-","Purple",NA,NA,7,NA,NA,NA,NA,"[Main] Delete 1 of your opponent's unsuspended Digimon.","-","[Security] Activate this card's [Main] effect."
"BT3-001","Booster","Union Impact","Poromon","Digi-Egg","In-Training","-","Mini Bird","Red","2",NA,NA,NA,NA,NA,NA,"-","[When Attacking] Delete 1 of your opponent's Digimon with 1000 DP or less.","-"
"BT3-002","Booster","Union Impact","DemiVeemon","Digi-Egg","In-Training","-","Baby Dragon","Blue","2",NA,NA,NA,NA,NA,NA,"-","[When Attacking][Once Per Turn] If this Digimon has <Jamming>, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"BT3-003","Booster","Union Impact","Upamon","Digi-Egg","In-Training","-","Amphibian","Yellow","2",NA,NA,NA,NA,NA,NA,"-","[When Attacking][Once Per Turn] If you have 3 or fewer security cards, trigger <Draw 1>. (Draw 1 card from your deck.)","-"
"BT3-004","Booster","Union Impact","Minomon","Digi-Egg","In-Training","-","Larva","Green","2",NA,NA,NA,NA,NA,NA,"-","[When Attacking] If you attack one of your opponent's Digimon, this Digimon gets +1000 DP for the turn.","-"
"BT3-005","Booster","Union Impact","Kakkinmon","Digi-Egg","In-Training","-","Armor","Black","2",NA,NA,NA,NA,NA,NA,"-","[When Attacking][Once Per Turn] If this Digimon is level 7, gain 1 memory.","-"
"BT3-006","Booster","Union Impact","DemiMeramon","Digi-Egg","In-Training","-","Flame","Purple","2",NA,NA,NA,NA,NA,NA,"-","[On Deletion] Trigger <Draw 1>. (Draw 1 card from your deck.) Then, trash 1 card in your hand.","-"
"BT3-007","Booster","Union Impact","Agumon","Digimon","Rookie","Virus","Reptile","Red","3",4000,2,1,"2",NA,NA,"-","-","-"
"BT3-008","Booster","Union Impact","Zubamon","Digimon","Rookie","Vaccine","Weapon/Legend-Arms","Red","3",1000,3,0,"2",NA,NA,"[On Play] Reveal the top 5 cards of your deck. Add 1 [RagnaLoardmon] Digimon card and 1 Digimon card with [Legend-Arms] in its type among them to your hand. Place the remaining cards on the bottom of your deck in any order.","-","-"
"BT3-009","Booster","Union Impact","Hawkmon","Digimon","Rookie","Free","Avian","Red","3",4000,3,0,"2",NA,NA,"-","-","-"
"BT3-010","Booster","Union Impact","ZubaEagermon","Digimon","Champion","Vaccine","Weapon/Legend-Arms","Red","4",4000,4,2,"3",NA,NA,"-","[Your Turn] While this Digimon is level 7, it gains <Security Attack +1>. (This Digimon checks 1 additional security card.)","-"
"BT3-011","Booster","Union Impact","Greymon","Digimon","Champion","Virus","Dinosaur","Red","4",4000,5,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.","-","-"
"BT3-012","Booster","Union Impact","Aquilamon","Digimon","Champion","Free","Giant Bird","Red","5",5000,6,2,"3",NA,NA,"-","[When Attacking] Delete 1 of your opponent's Digimon with 2000 DP or less.","-"
"BT3-013","Booster","Union Impact","Duramon","Digimon","Ultimate","Vaccine","Weapon/Legend-Arms","Red","5",7000,6,3,"4",NA,NA,"-","[Your Turn] While this Digimon is level 7, it gains <Security Attack +1>. (This Digimon checks 1 additional security card.)","-"
"BT3-014","Booster","Union Impact","Silphymon","Digimon","Ultimate","Free","Beastkin","Red","5",7000,7,3,"4",3,"4","[Your Turn] This Digimon is also treated as a yellow Digimon.[When Digivolving] Change the original DP of 1 of your opponent's level 4 or lower Digimon to 1000 for the turn.","-","-"
"BT3-015","Booster","Union Impact","MetalGreymon","Digimon","Ultimate","Virus","Cyborg","Red","6",7000,8,3,"4",NA,NA,"<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)[When Digivolving] You may return 1 level 7 Digimon with [Virus] in its attribute from your trash to your hand.","-","-"
"BT3-016","Booster","Union Impact","Durandamon","Digimon","Mega","Vaccine","Holy Sword/Legend-Arms","Red","6",12000,10,3,"5",3,"5","-","<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)","-"
"BT3-017","Booster","Union Impact","Valkyrimon","Digimon","Mega","Free","Warrior","Red","6",9000,11,3,"5",NA,NA,"[When Digivolving] Delete 1 of your opponent's Digimon with 4000 DP or less.[When Attacking] Delete 1 of your opponent's Digimon with 4000 DP or less.","-","-"
"BT3-018","Booster","Union Impact","BlitzGreymon","Digimon","Mega","Virus","Cyborg","Red","7",12000,12,4,"5",4,"5","<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)[When Digivolving] Trigger <De-Digivolve 2> on 1 of your opponent's Digimon. (Trash up to 2 cards from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)","-","-"
"BT3-018","Booster","Union Impact","BlitzGreymon","Digimon","Mega","Virus","Cyborg","Red","3",12000,12,4,"5",4,"5","<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)[When Digivolving] Trigger <De-Digivolve 2> on 1 of your opponent's Digimon. (Trash up to 2 cards from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)","-","-"
"BT3-019","Booster","Union Impact","RagnaLoardmon","Digimon","Mega","Virus","Unique/Legend-Arms","Red","3",14000,14,3,"6",3,"6","<Security Attack +1> (This Digimon checks 1 additional security card.)<Reboot> (Unsuspend this Digimon during your opponent's unsuspend phase.)[When Digivolving] You may place 1 [Durandamon] or [BryweLudramon] from your hand on top of this card's digivolution cards to gain 3 memory.","-","-"
"BT3-020","Booster","Union Impact","Patamon","Digimon","Rookie","Data","Mammal","Blue","4",4000,3,0,"2",NA,NA,"-","-","-"
"BT3-021","Booster","Union Impact","Veemon","Digimon","Rookie","Free","Mini Dragon","Blue","4",2000,3,0,"2",NA,NA,"<Jamming> (This Digimon can't be deleted in battles against Security Digimon.)","-","-"
"BT3-022","Booster","Union Impact","Penguinmon","Digimon","Rookie","Vaccine","Avian","Blue","4",5000,3,1,"2",NA,NA,"-","-","-"
"BT3-023","Booster","Union Impact","Angemon","Digimon","Champion","Vaccine","Angel","Blue","5",3000,4,2,"3",NA,NA,"-","[When Attacking] Trash the bottom digivolution card of 1 of your opponent's Digimon.","-"
"BT3-024","Booster","Union Impact","Airdramon","Digimon","Champion","Vaccine","Mythical Beast","Blue","5",4000,5,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.","-","-"
"BT3-025","Booster","Union Impact","ExVeemon","Digimon","Champion","Free","Mythical Beast","Blue","6",4000,5,2,"3",NA,NA,"[When Digivolving] Unsuspend 1 of your level 4 or lower Digimon.","-","-"
"BT3-026","Booster","Union Impact","MagnaAngemon","Digimon","Ultimate","Vaccine","Archangel","Blue","6",7000,6,3,"4",NA,NA,"-","[When Attacking] Trash the bottom digivolution card of 1 of your opponent's Digimon.","-"
"BT3-027","Booster","Union Impact","Bastemon","Digimon","Ultimate","Free","Dragonkin","Blue","6",7000,7,3,"4",3,"4"," <Jamming> (This Digimon can't be deleted in battles against Security Digimon.)","[When Attacking][Once Per Turn] If this Digimon has [Imperialdramon] in its name, unsuspend it.","-"
"BT3-028","Booster","Union Impact","Paildramon","Digimon","Ultimate","Virus","Beastkin","Blue","3",8000,7,2,"4",NA,NA,"-","-","-"
"BT3-029","Booster","Union Impact","Goldramon","Digimon","Mega","Vaccine","Holy Dragon/Four Great Dragons","Blue","3",11000,11,3,"5",NA,NA,"[Your Turn][Once Per Turn] When you play another Digimon, unsuspend this Digimon.","-","-"
"BT3-030","Booster","Union Impact","Leopardmon","Digimon","Mega","Data","Holy Warrior/Royal Knight","Blue","3",11000,12,4,"5",NA,NA,"[When Digivolving] You may play 1 level 4 or lower digivolution card of 1 of your Digimon as another Digimon without paying its memory cost.[Your Turn] All of your level 4 or lower Digimon gain <Jamming>. (This Digimon can't be deleted in battles against Security Digimon.)","-","-"
"BT3-030","Booster","Union Impact","Leopardmon","Digimon","Mega","Data","Holy Warrior/Royal Knight","Blue","4",11000,12,4,"5",NA,NA,"[When Digivolving] You may play 1 level 4 or lower digivolution card of 1 of your Digimon as another Digimon without paying its memory cost.[Your Turn] All of your level 4 or lower Digimon gain <Jamming>. (This Digimon can't be deleted in battles against Security Digimon.)","-","-"
"BT3-031","Booster","Union Impact","Imperialdramon Dragon Mode","Digimon","Mega","Free","Ancient Dragon","Blue","4",12000,13,5,"5",5,"5","When one of your [Paildramon] or [Dinobeemon] would digivolve into this card in your hand, reduce the memory cost of the digivolution by 2.<Jamming> (This Digimon can't be deleted in battles against Security Digimon.)[When Digivolving] Unsuspend all of your Digimon with <Jamming>.","-","-"
"BT3-032","Booster","Union Impact","Armadillomon","Digimon","Rookie","Free","Mammal","Yellow","5",4000,3,0,"2",NA,NA,"-","-","-"
"BT3-033","Booster","Union Impact","Salamon","Digimon","Rookie","Vaccine","Mammal","Yellow","5",1000,3,0,"2",NA,NA,"-","[When Attacking] 1 of your opponent's Digimon gets -1000 DP for the turn.","-"
"BT3-034","Booster","Union Impact","Lopmon","Digimon","Rookie","Data","Beast","Yellow","5",2000,3,0,"2",NA,NA,"[On Play] Look at the top card of your security stack. Add that card to your hand, then trigger <Draw 1>. (Draw 1 card from your deck.)","-","-"
"BT3-035","Booster","Union Impact","Gatomon","Digimon","Champion","Vaccine","Holy Beast","Yellow","6",3000,4,2,"3",NA,NA,"-","[When Attacking] 1 of your opponent's Digimon gets -1000 DP for the turn.","-"
"BT3-036","Booster","Union Impact","Ankylomon","Digimon","Champion","Free","Ankylosaur","Yellow","6",4000,5,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.","-","-"
"BT3-037","Booster","Union Impact","Turuiemon","Digimon","Champion","Data","Beastkin","Yellow","3",6000,6,1,"3",NA,NA,"-","-","-"
"BT3-038","Booster","Union Impact","Antylamon","Digimon","Ultimate","Virus","Holy Beast","Yellow","3",8000,7,2,"4",NA,NA,"-","-","-"
"BT3-039","Booster","Union Impact","Angewomon","Digimon","Ultimate","Vaccine","Archangel","Yellow","3",6000,7,3,"4",NA,NA,"[When Digivolving] 1 of your opponent's Digimon gains <Security Attack -2> (This Digimon checks 2 fewer security cards) until the end of your opponent's next turn.","[When Attacking] If you have 3 or fewer security cards, you may play 1 yellow level 3 Digimon card from your hand without paying its memory cost.","-"
"BT3-040","Booster","Union Impact","Shakkoumon","Digimon","Ultimate","Free","Mutant","Yellow","3",7000,8,3,"4",3,"4","[Your Turn] This Digimon is also treated as a blue Digimon.[Opponent's Turn] All of your opponent's Digimon with no digivolution cards gain <Security Attack -1>. (This Digimon checks 1 fewer security card.) ","-","-"
"BT3-041","Booster","Union Impact","Cherubimon","Digimon","Mega","Vaccine","Cherub/Three Great Angels","Yellow","4",11000,11,3,"5",NA,NA,"[When Attacking] If you have 3 or fewer security cards, place 1 yellow Digimon from your trash on top of your security stack face down.","-","-"
"BT3-042","Booster","Union Impact","ClavisAngemon","Digimon","Mega","Vaccine","Virtue","Yellow","4",10000,12,3,"5",NA,NA,"[When Attacking] If you have 3 or fewer security cards, 1 of your opponent's Digimon gets -6000 DP for the turn.","-","-"
"BT3-043","Booster","Union Impact","Kentaurosmon","Digimon","Mega","Vaccine","Holy Warrior/Royal Knight","Yellow","4",11000,12,3,"5",NA,NA,"[When Digivolving] Up to 5 of your opponent's Digimon gain <Security Attack -2> (This Digimon checks 2 fewer security cards) until the end of your opponent's next turn.[On Deletion] 1 of your opponent's Digimon gets -11000 DP for the turn.","-","-"
"BT3-044","Booster","Union Impact","Aruraumon","Digimon","Rookie","Data","Vegetation","Green","5",5000,2,2,"2",NA,NA,"-","-","-"
"BT3-045","Booster","Union Impact","Kunemon","Digimon","Rookie","Virus","Larva","Green","5",4000,3,2,"2",NA,NA,"-","-","-"
"BT3-046","Booster","Union Impact","Terriermon","Digimon","Rookie","Vaccine","Beast","Green","5",2000,3,2,"2",NA,NA,"[All Turns] Your opponent can't gain memory except with Tamer effects.","-","-"
"BT3-047","Booster","Union Impact","Wormmon","Digimon","Rookie","Free","Larva","Green","5",1000,3,2,"2",NA,NA,"[On Deletion] Reveal the top 3 cards of your deck. Add 1 level 4 or 5 Digimon card among them to your hand. Place the remaining cards on the bottom of your deck in any order.","-","-"
"BT3-048","Booster","Union Impact","Gargomon","Digimon","Champion","Vaccine","Beastkin","Green","6",4000,5,1,"3",NA,NA,"-","[Your Turn] This card gets +1000 DP for each of your opponent's suspended Digimon.","-"
"BT3-049","Booster","Union Impact","Flymon","Digimon","Champion","Virus","Insectoid","Green","6",4000,5,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.","-","-"
"BT3-050","Booster","Union Impact","Stingmon","Digimon","Champion","Free","Insectoid","Green","3",5000,6,2,"3",NA,NA,"-","[Your Turn][Once Per Turn] When this Digimon deletes an opponent's Digimon in battle and survives, gain 1 memory.","-"
"BT3-051","Booster","Union Impact","Dokugumon","Digimon","Champion","Virus","Insectoid","Green","3",5000,6,2,"3",NA,NA,"[On Play] Reveal the top 3 cards of your deck. Add 1 level 5 or 6 Digimon card among them to your hand. Trash the remaining cards.","-","-"
"BT3-052","Booster","Union Impact","Rapidmon","Digimon","Ultimate","Vaccine","Cyborg","Green","3",6000,6,2,"4",NA,NA,"-","[Your Turn] This card gets +1000 DP for each of your opponent's suspended Digimon.","-"
"BT3-053","Booster","Union Impact","JewelBeemon","Digimon","Ultimate","Vaccine","Insectoid","Green","3",10000,7,3,"4",NA,NA,"-","-","-"
"BT3-054","Booster","Union Impact","Blossomon","Digimon","Ultimate","Data","Vegetation","Green","4",7000,7,3,"4",NA,NA,"<Digisorption -3> (When one of your Digimon digivolves into this card from your hand, you may suspend 1 of your Digimon to reduce the memory cost of the digivolution by 3.)","-","-"
"BT3-055","Booster","Union Impact","Dinobeemon","Digimon","Ultimate","Free","Mutant","Green","4",7000,8,3,"4",3,"4","<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)<Jamming> (This Digimon can't be deleted in battles against Security Digimon.)","-","-"
"BT3-056","Booster","Union Impact","Ceresmon","Digimon","Mega","Data","Shaman/Olympos XII","Green","4",12000,12,5,"5",NA,NA,"<Digisorption -3> (When one of your Digimon digivolves into this card from your hand, you may suspend 1 of your Digimon to reduce the memory cost of the digivolution by 3.)[Your Turn][Once Per Turn] When suspending Digimon for a <Digisorption> skill, you may suspend your opponent's Digimon instead.","-","-"
"BT3-057","Booster","Union Impact","MegaGargomon","Digimon","Mega","Vaccine","Machine","Green","4",11000,12,4,"5",NA,NA,"[When Digivolving] Suspend 1 of your opponent's Digimon. It doesn't unsuspend during your opponent's next unsuspend phase.[Your Turn] While your opponent has a suspended Digimon in play, this Digimon gains <Security Attack +1>. (This Digimon checks 1 additional security card.)","-","-"
"BT3-058","Booster","Union Impact","BanchoStingmon","Digimon","Mega","Free","Insectoid/Boss","Green","5",9000,12,3,"5",NA,NA,"<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)[When Attacking] If you attack an opponent's Digimon that has 12000 DP or more, this Digimon gets +7000 DP and <Security Attack +2>  (This Digimon checks 2 additional security cards) for the turn.","-","-"
"BT3-059","Booster","Union Impact","Commandramon","Digimon","Rookie","Virus","Cyborg/D-Brigade","Black","5",3000,2,0,"2",NA,NA,"-","-","-"
"BT3-060","Booster","Union Impact","Psychemon","Digimon","Rookie","Data","Reptile","Black","5",5000,3,1,"2",NA,NA,"-","-","-"
"BT3-061","Booster","Union Impact","Chuumon","Digimon","Rookie","Virus","Beast","Black","5",1000,3,0,"2",NA,NA,"[Both Turns] Your opponent can't gain memory except with Tamer effects.","-","-"
"BT3-062","Booster","Union Impact","Ludomon","Digimon","Rookie","Data","Armor/Legend-Arms","Black","6",1000,3,0,"2",NA,NA,"[On Play] Reveal the top 5 cards of your deck. Add 1 [RagnaLoardmon] Digimon card and 1 Digimon card with [Legend-Arms] in its type among them to your hand. Place the remaining cards on the bottom of your deck in any order.","-","-"
"BT3-063","Booster","Union Impact","Sukamon","Digimon","Champion","Virus","Abnormal","Black","6",1000,3,2,"3",NA,NA,"[On Deletion] Reveal the top 3 cards of your deck. You may play 1 [Chuumon] among them without paying its memory cost. Place the remaining cards on the bottom of your deck in any order.","-","-"
"BT3-064","Booster","Union Impact","TiaLudomon","Digimon","Champion","Data","Armor/Legend-Arms","Black","6",4000,4,2,"3",NA,NA,"-","[When Attacking] If this Digimon is level 7, trigger <De-Digivolve 1> on 1 of your opponent's Digimon. (Trash a card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)","-"
"BT3-065","Booster","Union Impact","Gururumon","Digimon","Champion","Vaccine","Beast","Black","6",4000,5,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.","-","-"
"BT3-065","Booster","Union Impact","Gururumon","Digimon","Champion","Vaccine","Beast","Black","3",4000,5,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.","-","-"
"BT3-066","Booster","Union Impact","Clockmon","Digimon","Champion","Data","Machine","Black","3",5000,5,2,"3",NA,NA,"-","[Opponent's Turn] This Digimon gets +1000 DP.","-"
"BT3-067","Booster","Union Impact","Tankmon","Digimon","Champion","Data","Cyborg","Black","3",6000,6,1,"3",NA,NA,"-","-","-"
"BT3-068","Booster","Union Impact","Giromon","Digimon","Ultimate","Vaccine","Mine","Black","3",7000,6,3,"4",NA,NA,"-","[Opponent's Turn] This Digimon gets +1000 DP.","-"
"BT3-069","Booster","Union Impact","RaijiLudomon","Digimon","Ultimate","Data","Armor/Legend-Arms","Black","4",7000,6,3,"4",NA,NA,"-","[When Attacking] If this Digimon is level 7, trigger <De-Digivolve 1> on 1 of your opponent's Digimon. (Trash a card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.)","-"
"BT3-070","Booster","Union Impact","Etemon","Digimon","Ultimate","Virus","Puppet","Black","4",6000,7,3,"4",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[On Deletion] Reveal 5 cards from the top of your deck. You may play 1 level 6 Digimon card with [Etemon] in its name among them. Place the remaining cards at the bottom of your deck in any order.","-","-"
"BT3-071","Booster","Union Impact","MetalMamemon","Digimon","Ultimate","Data","Cyborg","Black","4",7000,8,3,"4",NA,NA,"<Reboot> (Unsuspend this Digimon during your opponent's unsuspend phase.)[When Digivolving] You may return 1 level 7 Digimon card with [Virus] in its attribute from your trash to your hand.","-","-"
"BT3-072","Booster","Union Impact","BryweLudramon","Digimon","Mega","Data","Armor/Legend-Arms","Black","4",12000,10,3,"5",3,"5","-","<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)","-"
"BT3-073","Booster","Union Impact","CresGarurumon","Digimon","Mega","Data","Beast Knight","Black","4",11000,11,4,"5",4,"5","<Reboot> (Unsuspend this Digimon during your opponent's unsuspend phase.)[When Digivolving] Reveal 1 card from the top of your deck for each Digimon your opponent has in play. You may play 1 black or red Digimon card with a level of 5 or less among them without paying its memory cost. Place the remaining cards on the bottom of your deck in any order.","-","-"
"BT3-073","Booster","Union Impact","CresGarurumon","Digimon","Mega","Data","Beast Knight","Black","5",11000,11,4,"5",4,"5","<Reboot> (Unsuspend this Digimon during your opponent's unsuspend phase.)[When Digivolving] Reveal 1 card from the top of your deck for each Digimon your opponent has in play. You may play 1 black or red Digimon card with a level of 5 or less among them without paying its memory cost. Place the remaining cards on the bottom of your deck in any order.","-","-"
"BT3-074","Booster","Union Impact","MetalEtemon","Digimon","Mega","Virus","Cyborg","Black","5",10000,12,3,"5",NA,NA,"[Your Turn] This Digimon can't be blocked by your opponent's Digimon.[Opponent's Turn] This Digimon gets +2000 DP.","-","-"
"BT3-075","Booster","Union Impact","Craniamon","Digimon","Mega","Vaccine","Holy Warrior/Royal Knights","Black","5",12000,13,4,"5",NA,NA,"<Blocker> (When an opponent's Digimon attacks, you may suspend this Digimon to force the opponent to attack it instead.)[All Turns] All of your Digimon with <Blocker> can't be deleted by your opponent's effects.","-","-"
"BT3-076","Booster","Union Impact","Candlemon","Digimon","Rookie","Data","Flame","Purple","6",3000,2,0,"2",NA,NA,"-","-","-"
"BT3-077","Booster","Union Impact","Gazimon","Digimon","Rookie","Virus","Mammal","Purple","6",2000,3,0,"2",NA,NA,"[All Turns] Your opponent can't gain memory except with Tamer effects.","-","-"
"BT3-078","Booster","Union Impact","Shamanmon","Digimon","Rookie","Virus","Demon","Purple","6",4000,3,0,"2",NA,NA,"-","-","-"
"BT3-079","Booster","Union Impact","Tsukaimon","Digimon","Rookie","Virus","Mammal","Purple","6",2000,3,0,"2",NA,NA,"-","[On Deletion] Gain 1 memory.","-"
"BT3-080","Booster","Union Impact","Saberdramon","Digimon","Champion","Vaccine","Giant Bird","Purple","6",3000,4,2,"3",NA,NA,"-","<Retaliation> (When this Digimon is deleted after losing a battle, delete the Digimon it was battling.)","-"
"BT3-081","Booster","Union Impact","Devidramon","Digimon","Champion","Virus","Evil Dragon","Purple","7",4000,5,2,"3",NA,NA,"-","[On Deletion] Gain 1 memory.","-"
"BT3-082","Booster","Union Impact","BlackGatomon","Digimon","Champion","Virus","Dark Animal","Purple","4",4000,5,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.","-","-"
"BT3-082","Booster","Union Impact","BlackGatomon","Digimon","Champion","Virus","Dark Animal","Purple","6",4000,5,2,"3",NA,NA,"[Security] At the end of the battle, play this card without paying its memory cost.","-","-"
"BT3-083","Booster","Union Impact","Meramon","Digimon","Champion","Data","Flame","Purple","7",5000,5,1,"3",NA,NA,"-","-","-"
"BT3-084","Booster","Union Impact","Raremon","Digimon","Champion","Virus","Undead","Purple","4",4000,5,2,"3",NA,NA,"[On Play] Reveal the top 3 cards of your deck. Add 1 Option card among them to your hand. Trash the remaining cards.","-","-"
"BT3-085","Booster","Union Impact","SkullMeramon","Digimon","Ultimate","Data","Flame","Purple","6",6000,5,2,"4",NA,NA,"-","-","-"
"BT3-086","Booster","Union Impact","Arukenimon","Digimon","Ultimate","Virus","Dark Animal","Purple","6",6000,7,3,"4",3,"4","[When Attacking] You may pay 3 memory to play 1 [MaloMyotismon] from your hand without paying its memory cost. Then, delete this Digimon.","-","-"
"BT3-087","Booster","Union Impact","Mummymon","Digimon","Ultimate","Virus","Undead","Purple","4",7000,7,3,"4",NA,NA,"[When Attacking] You may pay 3 memory to play 1 [MaloMyotismon] from your hand without paying its memory cost. Then, delete this Digimon.","-","-"
"BT3-088","Booster","Union Impact","LadyDevimon","Digimon","Ultimate","Virus","Fallen Angel","Purple","6",8000,8,3,"4",NA,NA,"[When Digivolving] Trigger <Draw 2>. (Draw 2 cards from your deck.) Then, trash 2 cards in your hand.","[Your Turn][Once Per Turn] When you use an Option card, delete 1 of your opponent's level 3 Digimon.","-"
"BT3-089","Booster","Union Impact","Boltmon","Digimon","Mega","Data","Cyborg","Purple","4",12000,10,2,"5",NA,NA,"-","-","-"
"BT3-090","Booster","Union Impact","Mastemon","Digimon","Mega","Vaccine","Angel","Purple","6",12000,12,4,"5",4,"5","[When Digivolving] Trash 1 card from the top of both players' security stacks. Then, play 1 purple or yellow Digimon card with a level of 4 or less from your trash without paying its memory cost.","-","-"
"BT3-090","Booster","Union Impact","Mastemon","Digimon","Mega","Vaccine","Angel","Purple","4",12000,12,4,"5",4,"5","[When Digivolving] Trash 1 card from the top of both players' security stacks. Then, play 1 purple or yellow Digimon card with a level of 4 or less from your trash without paying its memory cost.","-","-"
"BT3-091","Booster","Union Impact","Lilithmon","Digimon","Mega","Virus","Demon Lord/Seven Great Demon Lords","Purple","6",11000,12,3,"5",NA,NA,"[When Digivolving] If you have 10 or more cards in your trash, you may return up to 2 purple Option cards from your trash to your hand.[Your Turn][Once Per Turn] When you use an Option card, gain 2 memory.","-","-"
"BT3-092","Booster","Union Impact","MaloMyotismon","Digimon","Mega","Virus","Demon Lord","Purple","4",12000,13,5,"5",NA,NA,"<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)[All Turns] When a player's Digimon is deleted, gain 1 memory per Digimon deleted.","-","-"
"BT3-111","Booster","Union Impact","Imperialdramon Dragon Mode","Digimon","Mega","Virus","Ancient Dragon","Green","6",12000,13,5,"5",5,"5","When one of your [Paildramon] or [Dinobeemon] would digivolve into this card in your hand, reduce the memory cost of the digivolution by 2.<Piercing> (When this Digimon attacks and deletes an opponent's Digimon and survives the battle, it performs any security checks it normally would.)[Your Turn][Once Per Turn] When this Digimon deletes an opponent's Digimon in battle and survives, unsuspend this Digimon.","-","-"
"BT3-112","Booster","Union Impact","Omnimon Alter-S","Digimon","Mega","Virus","Holy Warrior","White","6",15000,15,6,"6",6,"6","[When Digivolving] Trigger <De-Digivolve 1> on all of your opponent's Digimon. (Trash a card from the top of one of your opponent's Digimon. If it has no digivolution cards, or becomes a level 3 Digimon, you can't trash any more cards.) Then, delete all of your opponent's Digimon with 5000 DP or less.[When Attacking] You may make this Digimon unblockable by your opponent for the turn by returning one of its level 6 digivolution cards to your hand.","-","-"
